Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
AI,Training Data Curation Plan,#442C81 #FFFFFF #141827 #0461DD #1F2537,Source Sans-style humanist sans,"filter, tag, checklist","sources cards, filter lane","sampling bars, coverage tiles","white only, thin rules",sensitive sources,"“AI data curation, humanist sans, brand palette only, sources cards + filter lane, sampling bars and coverage tiles, crisp readable, avoid sensitive sources.”"
AI,Evaluation Harness Benchmark,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Helvetica-style sans, scorecard tone","trophy, checklist, flask","benchmark table, scenario cards","score bars, CI whiskers","white only, grid rules",cherry-picking,"“AI benchmark, Helvetica-style sans, brand palette only, benchmark table + scenario cards, score bars with CIs, crisp readable, balanced.”"
AI,Embeddings and Similarity Map,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, figure captions","dot cloud, search, tag","embedding plot placeholder, cluster notes","similarity distribution, recall bars","white only, faint dot lattice",sensitive text,"“AI embeddings slide, Inter-style sans, brand palette only, embedding plot placeholder + cluster notes, similarity distribution and recall bars, crisp readable.”"
AI,Alignment Roadmap (Milestones),#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, roadmap labels","flag, checkpoint, ladder","phased roadmap, dependencies lane","timeline, risk tiles","white only, thin rules",overpromising timelines,"“AI roadmap, Inter-style sans, brand palette only, phased roadmap + dependencies lane, timeline and risk tiles, crisp readable.”"
AI,GPU Training Cluster Overview,#442C81 #FFFFFF #141827 #0461DD #1F2537,DIN-style condensed headings,"rack, chip, gauge","cluster tiles, utilization lane","utilization bars, queue depth trend","white only, faint grid","credentials, real cluster names","“AI cluster overview, condensed headings, brand palette only, cluster tiles + utilization lane, utilization bars and queue depth trend, crisp readable, no real cluster names.”"
AI,Privacy-Preserving ML Summary,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, cautious tone","lock, sigma, checklist","concept cards, tradeoffs table",utility vs privacy bars,"white only, thin rules",legal guarantees,"“AI privacy ML, Times New Roman, brand palette only, concept cards + tradeoffs table, utility vs privacy bars, crisp readable, avoid guarantees.”"
AI,Model Card Governance,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, documentation-first","ID tag, shield, info","model card sections, limits box","metrics table, risk tiles","white only, thin rules",certification claims,"“AI model card, Times New Roman, brand palette only, structured sections + limitations box, metrics table and risk tiles, crisp readable, no certification claims.”"
AI,AI Red Team Test Matrix,#442C81 #FFFFFF #141827 #0461DD #1F2537,Roboto Condensed headings + tables,"shield, target, checklist","test matrix table, findings cards","severity bars, coverage tiles","white only, thin rules",attack instructions,"“AI red team matrix, condensed headings, brand palette only, test matrix + findings cards, severity bars and coverage tiles, crisp readable, avoid attack instructions.”"
AI,Fairness and Bias Evaluation,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, careful wording","scale, group bars, warning","subgroup cards, caveats box","parity deltas, distribution bars","white only, faint dot grid",stigmatizing labels,"“AI fairness, Times New Roman, brand palette only, subgroup cards + caveats, parity deltas and distributions, crisp readable, careful language.”"
AI,MLOps Deployment Pipeline,#442C81 #FFFFFF #141827 #0461DD #1F2537,Sans headings + mono config snippets,"pipeline, gate, cloud","CI/CD stages, env lanes, rollback box","lead time bars, change failure trend","white only, thin rules","real repos, credentials","“AI MLOps pipeline, sans + mono snippets, brand palette only, stages with env lanes and rollback box, lead time bars and change failure trend, crisp readable, no repos/credentials.”"
AI,LLM Prompt Playbook,#442C81 #FFFFFF #141827 #0461DD #1F2537,Sans headings + mono prompt blocks,"brackets, wand, checklist","prompt cards, do/don’t row, eval notes","score tiles, failure bars","white only, thin rules","unsafe instructions, long prompts","“AI prompt playbook, sans headings with mono prompt blocks, brand palette only, prompt cards + do/don’t + eval notes, score tiles and failure bars, crisp readable.”"
Animals,Eagle Sky Command,#0B1220 #38BDF8 #E2E8F0 #64748B #FACC15,Bold condensed headers; big numerals,"Eagle silhouette, wing chevrons, compass, wind arrows",Upward motion; altitude bands; diagonal separators,Tall bars; ascent lines; KPI tiles,Subtle sky gradient + wind lines,Patriotic seals; official insignia look,"Eagle sky command infographic, high-altitude layout with altitude bands, wing motif icons, tall bars and ascent lines, subtle wind background, crisp vector, minimal text."
Animals,Bear Woodland Ranger,#14532D #7C4A2D #64748B #FFF7ED #F59E0B,Sturdy sans headers + readable labels,"Bear silhouette, paw print, pine tree, trail sign",Badge callouts; trail-map sections,Thick-outline bars; KPI stamps,Woodgrain or craft-paper texture,Muddy contrast; overly cute cartoon,"Bear woodland ranger infographic, pine/bark palette, badge callouts and trail panels, bear/paw icons, thick readable charts, subtle woodgrain texture, vector style."
Animals,Elk Alpine Lodge,#1E3A8A #14532D #7C4A2D #F8FAFC #C26E3B,Modern sans + subtle serif headers,"Elk head silhouette, pine, topo contours, cabin",Framed lodge placards; topo insets,Calm bars; marker-dot lines,Light paper + faint topo contours,Overly ornate rustic fonts,"Elk alpine lodge infographic, premium outdoor aesthetic, framed panels and topo insets, elk icons, calm readable charts, subtle topo background, crisp vector."
Animals,Bison Prairie Heritage,#E7D3B0 #C2410C #4B2E1F #334155 #60A5FA,Sturdy slab-like headers + utilitarian labels,"Bison silhouette, grass tufts, fence line, horizon sun",Wide prairie bands; stamped section headers,Thick bars; stamp KPI badges; simple timelines,Kraft paper texture with faint fibers,Excessive distress; tiny text,"Bison prairie infographic, kraft paper texture, prairie-band layout with stamped headers, bison/grass icons, thick readable charts, grounded Americana vibe."
Animals,Alligator Bayou Swamp,#14532D #166534 #7C4A2D #CBD5E1 #84CC16,Condensed headers + clean labels,"Alligator silhouette, reeds, lily pad, ripples",Marsh window panels; ripple dividers,High-contrast fills; ripple-style lines,Subtle water ripple texture,Dark-on-dark text; realistic gator skin behind text,"Alligator bayou infographic, moody swamp palette with lime accents, ripple dividers, marsh panels, readable charts, subtle water texture, crisp vector, minimal text."
Animals,Ocean Fish Reef Data,#075985 #22D3EE #FB7185 #16A34A #FFF1D6 #0B1220,Rounded modern sans,"Fish silhouettes, bubbles, coral, wave dividers",Layered reef zones; bubble callouts; wave section breaks,Bubble scatter plots; bright fills; clean legends,Subtle underwater light rays (3%),Over-saturated neon; photoreal fish textures behind text,"Ocean fish reef infographic, deep ocean/aqua with coral accents, reef-zone layout, bubble callouts, fish/coral icons, clean charts with strong contrast, subtle underwater rays, crisp vector."
Animals,Dog Park Friendly,#60A5FA #22C55E #D6B98C #FFF7ED #FB7185,Rounded sans; bold short labels,"Dog silhouette, paw prints, leash, bone, ball",Rounded cards; sticker callouts; paw separators,Chunky bars; simple donuts,Subtle paw-trail dot pattern,Overly childish clutter; business-unsafe doodles,"Dog park friendly infographic, rounded card layout, paw-print separators, sticker callouts, chunky readable charts, bright friendly palette, crisp vector, minimal text."
Animals,Camel Caravan Desert,#E7D3B0 #C8A97E #C46A3A #1F2937 #0F766E,Clean sans + subtle slab headers,"Camel silhouette, canteen, compass, dunes",Horizon bands; waypoint callouts,Rounded bars; route-line timelines,Dune-wave texture (3â€“5%),Photoreal faces; busy patterns behind text,"Camel caravan desert infographic, warm sand/terracotta palette with oasis teal, horizon bands, waypoint callouts, subtle dune texture, clean readable charts, crisp vector, minimal text."
Animals,Polar Bear Arctic Research,#E0F2FE #93C5FD #0B1220 #F8FAFC #14B8A6,Scientific sans + mono data callouts,"Polar bear silhouette, ice floe, thermometer, station",Clean lab panels; figure captions,Precise axes; thin gridlines; sparklines,Frost grain + light ice facets,Warm paper textures; busy snowflakes,"Polar bear arctic research infographic, sterile cold palette, lab panels with captions, precise charts, frost grain and ice facets background, modern scientific style."
Animals,Lion Regal Savanna,#D4AF37 #F59E0B #7C4A2D #111827 #FFF1D6,Elegant serif headings + clean sans labels,"Lion silhouette, acacia tree, sun disk",Symmetric framed panels; medallion callouts,Gold-accent outlines; minimal gridlines,Subtle sand grain; faint sunburst only behind title,Over-decoration; low contrast gold-on-cream,"Lion regal savanna infographic, premium gold/sand palette, framed panels and medallions, lion icons, minimal-grid charts with gold accents, subtle sand texture, readable and bold."
Arizona,Arizona Grand Canyon Strata (Geology + Desert Modern),#1F4E79 #C46A3A #E7D3B0 #F59E0B #7C4A2D #111827,Modern sans; optional slab for section titles,"Canyon layers, saguaro, sun rays, route marker, topo contour, compass",Horizontal strata-band sections; horizon header; map-box callouts,Strata-like layered areas; route timelines; warm comparison bars,Sandstone grain + faint contours (3â€“4%),Busy patterns; low-contrast tan-on-tan text,"Arizona Grand Canyon strata infographic, canyon layer bands, saguaro/topo icons, subtle sandstone grain and contour background, strata-style area charts and route timelines, crisp vector, minimal text."
Arizona,Sedona Red Rock Premium (Luxe Nature Editorial),#7C2D12 #C2410C #FFF1D6 #111827 #CBD5E1 #FFFFFF,Elegant serif headlines + minimalist sans labels,"Rock strata, trail marker, camera frame, map pin (thin-line)",Editorial grid; large feature panel; metrics side rail,Thin-line trends; minimal bars; key-number badges,Ivory paper grain + rock-strata watermark (2%),Neon accents; heavy grunge,"Sedona red rock premium infographic, editorial layout, rock strata motif, ivory paper grain, elegant serif headlines, minimalist charts with key-number badges, crisp vector, high readability."
